geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0006396	RNA processing	http://amigo.geneontology.org/amigo/term/GO:0006396	253	77	33.1118170266836	2.32545377796539	7.54951656745106e-14	1.17772458452237e-10	58024;192311;192325;192330;192331;286774;321220;321544;321652;321696;321700;321718;321860;321897;321994;322206;322251;322715;323426;323746;324121;325037;325106;325550;327053;334362;337487;337866;386850;393098;393282;393475;393985;394053;394074;402966;402989;406249;406251;406275;406321;406376;406810;406824;415211;431768;436976;436992;442932;445035;445101;445166;445224;445387;445398;445399;446116;447922;450021;474329;492512;494106;550234;553298;553505;553648;553790;554096;566022;570158;570205;573047;606657;777627;100000842;100003787;100006246	ENSDARG00000053496;ENSDARG00000069422;ENSDARG00000077461;ENSDARG00000017762;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000045155;ENSDARG00000031907;ENSDARG00000015239;ENSDARG00000003287;ENSDARG00000003027;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000014244;ENSDARG00000006219;ENSDARG00000020482;ENSDARG00000038068;ENSDARG00000042864;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000056923;ENSDARG00000018890;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000006225;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000028976;ENSDARG00000006524;ENSDARG00000020232;ENSDARG00000020986;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000043105;ENSDARG00000102978;ENSDARG00000035324;ENSDARG00000011125;ENSDARG00000011740;ENSDARG00000015111;ENSDARG00000011613;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000101047;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000035625;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000015394;ENSDARG00000012674;ENSDARG00000051851;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000077126;ENSDARG00000020913;ENSDARG00000037930;ENSDARG00000099667;ENSDARG00000070431;ENSDARG00000021112;ENSDARG00000057089;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000010978;ENSDARG00000040326;ENSDARG00000025212;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000095750;ENSDARG00000063003;ENSDARG00000063466;ENSDARG00000058328;ENSDARG00000040070;ENSDARG00000033967;ENSDARG00000063627
GO:0034660	ncRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034660	137	50	17.9301143583227	2.78860463468216	1.36957112317759e-12	1.06826547607852e-09	114427;192311;280647;321652;321700;321718;321897;322251;322715;323426;325037;325106;327053;334362;334588;337487;368235;368284;386850;393098;393224;393282;393985;394111;406275;406321;406376;436992;442932;445101;445166;445224;445387;445399;446116;474329;492512;494106;550234;553298;553790;554096;556702;562037;562329;566022;606657;777627;791890;100003787	ENSDARG00000069422;ENSDARG00000044575;ENSDARG00000017762;ENSDARG00000103799;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000041570;ENSDARG00000028976;ENSDARG00000035913;ENSDARG00000036164;ENSDARG00000020232;ENSDARG00000020986;ENSDARG00000003827;ENSDARG00000069878;ENSDARG00000043105;ENSDARG00000055477;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000101047;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000012674;ENSDARG00000051851;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000037930;ENSDARG00000021112;ENSDARG00000057089;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000077299;ENSDARG00000060494;ENSDARG00000062915;ENSDARG00000095750;ENSDARG00000033967;ENSDARG00000063627;ENSDARG00000036282
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	138	49	18.0609911054638	2.71302940762628	7.56794626965984e-12	3.93533206022312e-09	58024;192330;192331;317678;321544;321652;321700;321718;321897;322251;323426;323464;325037;325106;327053;334362;337148;386850;393282;393475;394040;402800;406275;406321;406324;431768;436807;436992;442932;445224;445387;445399;447922;474329;494106;550234;553606;553616;553790;554096;558395;566022;568328;570205;570267;619204;777627;100000842;100003787	ENSDARG00000053496;ENSDARG00000069422;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000055639;ENSDARG00000015239;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000070849;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000035427;ENSDARG00000075380;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000007216;ENSDARG00000018658;ENSDARG00000044402;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000099667;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000057105;ENSDARG00000059075;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000078041;ENSDARG00000095750;ENSDARG00000057929;ENSDARG00000063466;ENSDARG00000003217;ENSDARG00000040070;ENSDARG00000101622;ENSDARG00000063627
GO:0042254	ribosome biogenesis	http://amigo.geneontology.org/amigo/term/GO:0042254	101	39	13.2185514612452	2.95039892338748	6.16440232192872e-11	2.4041169055522e-08	321652;321700;321718;321897;322251;323426;323464;325037;325106;327053;334362;337148;386850;393282;394040;402800;406275;406321;406324;436807;436992;442932;445224;445387;445399;474329;494106;550234;553606;553616;553790;554096;558395;566022;568328;570267;619204;777627;100003787	ENSDARG00000069422;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000070849;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000035427;ENSDARG00000075380;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000007216;ENSDARG00000044402;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000057105;ENSDARG00000059075;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000078041;ENSDARG00000095750;ENSDARG00000057929;ENSDARG00000003217;ENSDARG00000101622;ENSDARG00000063627
GO:0034470	ncRNA processing	http://amigo.geneontology.org/amigo/term/GO:0034470	110	39	14.3964421855146	2.7090026478376	1.19995968717035e-09	3.74387422397149e-07	192311;321652;321700;321718;321897;322251;322715;323426;325037;325106;327053;334362;337487;386850;393098;393282;393985;406275;406321;406376;436992;442932;445101;445166;445224;445387;445399;446116;474329;492512;494106;550234;553298;553790;554096;566022;606657;777627;100003787	ENSDARG00000069422;ENSDARG00000017762;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000028976;ENSDARG00000020232;ENSDARG00000020986;ENSDARG00000069878;ENSDARG00000043105;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000101047;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000012674;ENSDARG00000051851;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000037930;ENSDARG00000021112;ENSDARG00000057089;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000095750;ENSDARG00000033967;ENSDARG00000063627
GO:0016072	rRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016072	69	29	9.03049555273189	3.21134093147601	1.83419435195731e-09	4.768905315089e-07	321652;321700;321718;321897;322251;323426;325037;325106;327053;334362;386850;393282;394111;406275;406321;436992;442932;445224;445387;445399;474329;494106;550234;553790;554096;566022;777627;791890;100003787	ENSDARG00000069422;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000055477;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000095750;ENSDARG00000063627;ENSDARG00000036282
GO:0016071	mRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016071	160	48	20.9402795425667	2.29223300970874	8.80694805971416e-09	1.96269128187916e-06	58024;192325;192330;192331;286774;321220;321544;321696;321860;321994;322206;323746;324088;324121;325550;337487;337866;393282;393475;394053;394074;394111;402966;402989;406249;406251;406632;406810;406824;415211;431768;436976;445035;445398;446116;447922;449540;449992;450021;550234;556024;565659;567424;570158;570205;573047;100000842;100006246	ENSDARG00000053496;ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000045155;ENSDARG00000031907;ENSDARG00000015239;ENSDARG00000003027;ENSDARG00000014244;ENSDARG00000020482;ENSDARG00000038068;ENSDARG00000056923;ENSDARG00000056127;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000028976;ENSDARG00000006524;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000102978;ENSDARG00000035324;ENSDARG00000055477;ENSDARG00000011125;ENSDARG00000011740;ENSDARG00000015111;ENSDARG00000011613;ENSDARG00000033855;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000035625;ENSDARG00000015394;ENSDARG00000077126;ENSDARG00000037930;ENSDARG00000099667;ENSDARG00000007135;ENSDARG00000040443;ENSDARG00000070431;ENSDARG00000028688;ENSDARG00000061177;ENSDARG00000062266;ENSDARG00000061378;ENSDARG00000063003;ENSDARG00000063466;ENSDARG00000058328;ENSDARG00000040070
GO:0006364	rRNA processing	http://amigo.geneontology.org/amigo/term/GO:0006364	67	27	8.76874205844981	3.07911896826547	2.00679808326498e-08	3.91325626236672e-06	321652;321700;321718;321897;322251;323426;325037;325106;327053;334362;386850;393282;406275;406321;436992;442932;445224;445387;445399;474329;494106;550234;553790;554096;566022;777627;100003787	ENSDARG00000069422;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000013478;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000028688;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000095750;ENSDARG00000063627
GO:0006399	tRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006399	49	22	6.41296060991105	3.43055280364573	4.07319011852536e-08	7.06019620544396e-06	114427;280647;322715;334588;337487;368235;368284;393098;393985;406275;406376;445101;445166;492512;550234;553298;553790;556702;562037;562329;566022;606657	ENSDARG00000044575;ENSDARG00000103799;ENSDARG00000089260;ENSDARG00000041570;ENSDARG00000028976;ENSDARG00000035913;ENSDARG00000036164;ENSDARG00000020986;ENSDARG00000043105;ENSDARG00000053912;ENSDARG00000101047;ENSDARG00000012674;ENSDARG00000051851;ENSDARG00000057089;ENSDARG00000028688;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000077299;ENSDARG00000060494;ENSDARG00000062915;ENSDARG00000095750;ENSDARG00000033967
GO:0008380	RNA splicing	http://amigo.geneontology.org/amigo/term/GO:0008380	102	33	13.3494282083863	2.47201599086236	2.89718624535418e-07	4.51961054275252e-05	58024;192325;192330;192331;286774;321544;321696;321860;321994;322206;323746;324121;325550;393282;393475;394053;402966;406249;406376;406810;406824;415211;431768;436976;445035;445398;446116;447922;553648;570205;573047;100000842;100006246	ENSDARG00000053496;ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000045155;ENSDARG00000015239;ENSDARG00000003027;ENSDARG00000014244;ENSDARG00000020482;ENSDARG00000038068;ENSDARG00000056923;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000102978;ENSDARG00000011125;ENSDARG00000015111;ENSDARG00000101047;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000035625;ENSDARG00000015394;ENSDARG00000077126;ENSDARG00000037930;ENSDARG00000099667;ENSDARG00000025212;ENSDARG00000063466;ENSDARG00000058328;ENSDARG00000040070
