gene.symbols	SRR1914395	SRR1914394	SRR1914393	SRR1914392
ENSDARG00000000001	slc35a5	0.459689781206203	0.415644097425986	0.528039716152094	0.508057234677177
ENSDARG00000000002	ccdc80	0.225303729814448	0.288719956512704	0.621810702697805	0.530685811430689
ENSDARG00000000018	nrf1	1.34920128546459	1.7827523947026	1.2229591792467	1.30322492122105
ENSDARG00000000019	ube2h	2.07930869610379	2.01456170064598	1.87853813675547	1.83749823350973
ENSDARG00000000068	slc9a3r1a	0.530811913784309	0.570522557550391	1.00737552528533	0.963589249886615
ENSDARG00000000069	dap	1.97926415676373	2.05330097413188	2.05531842045017	2.0216821094234
ENSDARG00000000086	itsn1	1.06037741954248	0.994755143775667	1.49571209549718	0.934978495009294
ENSDARG00000000103	myh10	2.38604109697341	2.43790382579217	2.86003944656981	2.77876297617207
ENSDARG00000000142	tmem267	0.593575685126547	0.784151485882967	0.365040655206356	0.390340616797502
ENSDARG00000000151	thraa	0.578624286814003	0.524184484929324	0.476080361233685	0.341773903474655
ENSDARG00000000161	itsn2a	0.572546248321654	0.661202096941606	0.34536949310592	0.395410947831062
ENSDARG00000000175	hoxb2a	0.549158249018511	0.345861685283485	0.669563151485493	0.62792348701086
ENSDARG00000000183	ptpn4b	0.64452717222059	0.639667839786022	0.717650596490742	0.661593252785149
ENSDARG00000000189	sema6e	1.24023131215022	1.29224988943132	0.834702595104961	0.691260434050082
ENSDARG00000000212	krt97	2.96867247386713	2.82891350169545	3.39414534800338	2.99011135461329
ENSDARG00000000229	usp49	1.1127914186924	1.06981419761886	1.20382130121642	1.03638677958131
ENSDARG00000000241	slc40a1	1.87697585353006	1.92847504046164	1.35383180082706	1.47663859298945
ENSDARG00000000324	dcaf8	0.542185559489998	0.642555730920569	0.649328064250689	0.648672682939196
ENSDARG00000000349	cfap300	0.164617445375016	0.150109547604763	0.321693462089204	0.330602646299603
ENSDARG00000000369	prkag3b	0.375479708106589	0.3540622431036	0.533842579558716	0.565266055403017
ENSDARG00000000370	triob	1.16086165178793	1.49326051901515	1.47378996405224	1.1156845550708
ENSDARG00000000380	pde6a	0.136888403839086	0.220947500630708	0.442374353909149	0.481599914219791
ENSDARG00000000394	matr3l1.2	1.97658016527503	2.22782243871663	2.39074633627923	2.55558164332171
ENSDARG00000000423	si:ch73-314g15.3	0.464502032291692	0.480632546762677	0.550081372907061	0.568794452271384
ENSDARG00000000442	slc39a13	1.61202261502813	1.48352459179101	1.63272533581671	1.44272983408897
ENSDARG00000000460	nitr2b	-0.092294731691525	-0.0678708463992364	-0.19810827193828	-0.118223724050147
ENSDARG00000000472	cntn2	1.39249291120199	1.30133678708802	0.499908515887756	0.777866241239326
ENSDARG00000000474	tnni1a	-0.19473006962576	-0.215789828137167	-0.0977665296308984	-0.204876794103046
ENSDARG00000000476	pms1	0.319001078342071	0.350694679322934	0.634750734596647	0.605607771233562
ENSDARG00000000489	upf3b	1.2952911400736	1.22326164481985	1.40620713822558	1.72533102247106
ENSDARG00000000503	stx1b	1.93182512449583	2.23972083470432	1.01225359878982	1.10120355141668
ENSDARG00000000516	ankar	0.0375446119000561	0.0766991236093792	0.12170468205796	0.091227281411907
ENSDARG00000000529	ofd1	0.650077650222404	0.568591091753874	0.938311778965975	0.974894147596145
ENSDARG00000000540	asnsd1	1.24007261021594	1.30049422582946	1.17941133665234	1.32372210991638
ENSDARG00000000542	gtf2e1	1.20128282094152	1.35664991167603	1.20594150203944	1.18716818258148
ENSDARG00000000551	slc1a4	1.93843778551342	1.94855699637339	1.59943304804985	1.51438897927017
ENSDARG00000000563	ttn.1	4.37380171448131	4.25937461887536	3.75649672028873	3.63993565818262
ENSDARG00000000567	znf281a	1.43234284053569	1.47970137550466	1.53290120647592	1.42641061585488
ENSDARG00000000568	ell	0.968294958670661	0.69362825688949	0.989246226294371	0.860123784130093
ENSDARG00000000588	grasp	0.250692157043939	0.375536851848437	0.923157383676903	0.727569377702048
ENSDARG00000000606	dnah6	0.639953111306912	0.394347657029648	0.421014359374858	0.368100140302951
ENSDARG00000000631	ptpn4a	0.823378752526823	0.865398263317414	1.36601147485121	0.983474450484329
ENSDARG00000000638	opn1mw4	-0.0391862600078724	-0.0951011812788684	-0.19810827193828	-0.116103541802211
ENSDARG00000000651	osgepl1	0.147143778981349	0.186225509571721	0.18022963179145	0.21748680217461
ENSDARG00000000656	psmb9a	0.133002800395673	0.0492395289703368	0.097579189129483	-0.0109934871675601
ENSDARG00000000666	creg2	0.732363275203946	0.684236441864126	0.914439055358114	0.692416586922112
ENSDARG00000000690	sypl2b	1.24752305668452	1.00589821750869	1.07513129159085	1.10029470777094
ENSDARG00000000729	daxx	1.00703361779334	0.891095114055201	1.31377825410317	1.24834596456383
ENSDARG00000000730	slc6a22.1	0.482937215198117	0.48375265044432	0.583266048701843	0.613976406327742
ENSDARG00000000747	lcmt2	0.373463697617501	0.390619600412682	0.602683962017497	0.572878063345922
ENSDARG00000000760	znf511	0.38207477696342	0.278631729460376	0.441134204228676	0.580158233091619
ENSDARG00000000767	spi1b	0.362126356125729	0.33509696681625	0.484872892048476	0.391634801348833
ENSDARG00000000779	scfd1	1.63764625484956	1.6995866763414	1.58779516564133	1.72286852843987
ENSDARG00000000796	nr4a1	0.860592535447218	0.662038690085406	0.478623393584095	0.539957169867953
ENSDARG00000000804	rassf6	1.43976205305687	1.15392229792808	0.89970449108467	0.933230810931874
ENSDARG00000000830	telo2	0.611824607334075	0.671865626082744	1.00555542142408	0.999191888562269
ENSDARG00000000837	snx9a	0.798996171858607	0.790267132940493	0.6062996237851	0.596173857790087
ENSDARG00000000853	dstyk	0.918678956911263	0.843585187468171	1.42804730537774	1.28687646556151
ENSDARG00000000857	mapk14a	1.59993824220142	1.29648748793071	1.69348498975481	1.65286664149736
ENSDARG00000000861	scrib	2.20330338344897	1.7846942412003	2.52800233097483	2.21976719887661
ENSDARG00000000887	zgc:56699	0.777615589606301	0.574823543432203	1.33244896508203	1.31688834915484
ENSDARG00000000906	skap2	0.2289768747823	0.202866634697115	0.336272215461688	0.421537964057401
ENSDARG00000000935	unk	0.839897508324705	0.852672574131931	0.845686786709887	0.6168545879296
ENSDARG00000000943	dzip1	0.861747549683842	0.952457665103274	1.18731456308563	1.14509777369766
ENSDARG00000000966	ncor2	1.64724219113861	1.72041028823482	1.6277743245177	1.49194905065701
ENSDARG00000001014	myh9b	2.31920692861976	1.69498968283311	3.29433027387563	2.74885294302272
ENSDARG00000001015	znf384l	1.88425705181502	2.04265573973903	1.43955308443207	1.13600958908488
ENSDARG00000001057	bysl	1.17494528513289	0.989354943170254	2.26047622757455	2.14460220419222
ENSDARG00000001127	slc17a6a	0.471871990791779	0.727649795831488	0.254555960587435	0.239811830110786
ENSDARG00000001129	dicer1	1.51137289212334	1.51575248991663	1.72845937058259	1.4159427959454
ENSDARG00000001154	NA	0.277903681504542	0.446104986141346	0.218079098797884	0.134695896180591
ENSDARG00000001162	matr3l1.1	2.33855393487594	2.39304316455497	2.02498948743528	2.11331471141231
ENSDARG00000001169	hsd17b8	0.46534321927339	0.343754889153254	0.204584809623427	0.234089781961724
ENSDARG00000001210	arl14ep	1.42476314530852	1.34408644005326	1.38517252860789	1.75614813600749
ENSDARG00000001220	mycbp2	2.09847916170976	2.19491111946283	1.7325404974155	1.63846647670884
ENSDARG00000001234	map4k2	0.417434359475077	0.506539824189768	0.632136530114221	0.57508553787344
ENSDARG00000001241	puf60b	2.13729070270435	2.24685183518774	2.56549241301878	2.49140159669683
ENSDARG00000001244	srrm1	2.40017460323099	2.71065961198338	1.92144128131406	2.12853203307114
ENSDARG00000001249	pcgf1	0.552197166644555	0.534297770616691	0.540350184594136	0.648817922005729
ENSDARG00000001259	gas2	0.13569981969273	0.232281947852819	0.324177108237847	0.23966092704643
ENSDARG00000001303	psmb8a	-0.0396725757321797	-0.0972280995159623	-0.19810827193828	-0.0732359883452441
ENSDARG00000001313	g2e3	1.85756874757559	1.55163013310847	1.68154759678092	1.75080976025322
ENSDARG00000001354	slc6a22.2	0.33347348258414	0.417434359475077	0.433786861181871	0.364062057896474
ENSDARG00000001414	mctp2a	0.504937503955121	0.54772344306192	0.629256979143192	0.653946038844654
ENSDARG00000001431	actn3b	2.41914129053527	2.2240636943029	2.48780433931416	2.35093236326147
ENSDARG00000001437	slc2a1a	0.51489708693996	0.630141909437197	1.5966095895307	1.38786987521159
ENSDARG00000001442	inppl1b	0.319531429458957	0.308355972363939	0.375707481513794	0.431311406165747
