pathway.name	log.fold.change	p.Value	FDR
KEGG_LEISHMANIA_INFECTION	-0.137231794494751	0	0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.10546697168713526	0	0
KEGG_ECM_RECEPTOR_INTERACTION	-0.1013368123955068	0	0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.09686947372774567	0	0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.08780860396505366	0	0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.08111049866163468	0	0
KEGG_FOCAL_ADHESION	-0.07933619150049726	0	0
KEGG_P53_SIGNALING_PATHWAY	-0.07531773360334036	0	0
KEGG_BLADDER_CANCER	-0.07481476693110875	0	0
KEGG_TGF_BETA_SIGNALING_PATHWAY	-0.07284455340422684	0	0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	-0.06964121077097607	0	0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-0.06849277557905797	0	0
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.06590674220279749	0	0
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.06566749991575149	0	0
KEGG_GLIOMA	-0.06289393768725354	0	0
KEGG_COLORECTAL_CANCER	-0.05783956519486061	0	0
KEGG_MELANOMA	-0.057461542361633526	0	0
KEGG_PANCREATIC_CANCER	-0.05744641223027644	0	0
KEGG_PROSTATE_CANCER	-0.05553045688405187	0	0
KEGG_MAPK_SIGNALING_PATHWAY	-0.054015303873393615	0	0
KEGG_APOPTOSIS	-0.05253240693462737	0	0
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.05028916243018371	0	0
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.04842656124099399	0	0
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.047267294216372296	0	0
KEGG_SMALL_CELL_LUNG_CANCER	-0.04427353247590898	0	0
KEGG_ERBB_SIGNALING_PATHWAY	-0.042582148865680285	0	0
KEGG_ENDOMETRIAL_CANCER	-0.041214639320591426	0	0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-0.03755923267626308	0	0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.033185800389284544	0	0
KEGG_PATHWAYS_IN_CANCER	-0.030516347459835308	0	0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.039467638656507154	0	0
KEGG_PYRIMIDINE_METABOLISM	0.04387319852481361	0	0
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.06786355684434835	0	0
KEGG_HUNTINGTONS_DISEASE	0.08506061508415785	0	0
KEGG_ALZHEIMERS_DISEASE	0.09023214684007862	0	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.09928681613949161	0	0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.12005498907807825	0	0
KEGG_PARKINSONS_DISEASE	0.1379773887968747	0	0
KEGG_PROPANOATE_METABOLISM	0.1418737925419208	0	0
KEGG_OXIDATIVE_PHOSPHORYLATION	0.1452158236259153	0	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.1580083561003885	0	0
KEGG_PROTEASOME	0.1684655537032091	0	0
KEGG_PYRUVATE_METABOLISM	0.17258890408153874	0	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.20320336496521899	0	0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.08882692941613614	1.0694459148547373e-16	4.4203764480662476e-16
KEGG_RNA_POLYMERASE	0.04453349147950948	3.7846424183481036e-14	1.5303119343755377e-13
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.06974910917361943	1.98507876802978e-13	7.855843635181682e-13
KEGG_MISMATCH_REPAIR	0.05781353245829598	2.466534554743265e-13	9.557821399630153e-13
KEGG_ADHERENS_JUNCTION	-0.0461826442979573	2.44759768008862e-12	9.29088098972415e-12
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.027663623863945646	3.1594726834782705e-12	1.1753238382539167e-11
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.023086417683877713	3.4201530496602572e-12	1.2473499357584468e-11
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.06354447304949797	3.792149748846344e-12	1.3564227947796539e-11
KEGG_RNA_DEGRADATION	0.03119305114073623	5.050936661347009e-12	1.7725928660576296e-11
KEGG_GAP_JUNCTION	-0.03360539307148132	5.931921620572211e-12	2.043217447085984e-11
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.03284555746180723	6.27030189849772e-12	2.1205020965828654e-11
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.12989428248836166	7.110216829250047e-12	2.361607732572337e-11
KEGG_SPHINGOLIPID_METABOLISM	-0.057305236181415684	7.672529278579532e-12	2.5036674487996366e-11
KEGG_INSULIN_SIGNALING_PATHWAY	0.03777814960990865	1.2182895108637222e-11	3.9069284313905576e-11
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	-0.10842150832893188	1.4482859356235167e-11	4.565782780101256e-11
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.04049221796699502	1.9366388408252305e-11	6.003580406558215e-11
KEGG_STEROID_BIOSYNTHESIS	0.20722854149211606	3.1825076637731284e-11	9.704039761668883e-11
KEGG_ETHER_LIPID_METABOLISM	-0.04584162883213917	3.8823166903512174e-11	1.1536877273616007e-10
KEGG_AXON_GUIDANCE	-0.037053964520765766	3.9076519797731635e-11	1.1536877273616007e-10
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.21985560428932666	6.552536291337674e-11	1.9043308596700115e-10
KEGG_PRION_DISEASES	-0.08977077253843271	6.91247059592115e-11	1.978030047448206e-10
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	-0.03221911971370648	7.097700205349611e-11	1.9991578595821404e-10
KEGG_PROTEIN_EXPORT	0.07043850486891301	7.20126755870986e-11	1.9991578595821404e-10
KEGG_GNRH_SIGNALING_PATHWAY	-0.03270362214931144	7.555400749481578e-11	2.066624322652314e-10
KEGG_LYSOSOME	-0.08011179082261258	8.228728809456243e-11	2.218179070375161e-10
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.1094028737161417	3.4244598546665595e-10	9.099279042399715e-10
KEGG_RENAL_CELL_CARCINOMA	-0.026380477244862654	6.343245928519536e-10	1.6617517502882165e-9
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.10950539310816912	1.106202685008384e-9	2.857690269604992e-9
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.07995654200350483	1.1271026334469525e-9	2.871795750974427e-9
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.05988309464625653	1.1842893332669746e-9	2.9767272430764497e-9
KEGG_DILATED_CARDIOMYOPATHY	-0.04939446209412346	1.322241427459403e-9	3.2791587400993194e-9
KEGG_NOTCH_SIGNALING_PATHWAY	-0.04763164705399811	1.7442027822056616e-9	4.268706809082277e-9
KEGG_MELANOGENESIS	-0.028235036995926555	3.8314764694291625e-9	9.255254848231485e-9
KEGG_ENDOCYTOSIS	-0.02497089344020023	4.758351046518783e-9	1.1346837110929405e-8
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	-0.08231620849638095	5.538192349163751e-9	1.3039288315752628e-8
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.07150110690399518	8.06793876151346e-9	1.8757957620518795e-8
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.07868977805941592	1.008177630268392e-8	2.3150745583940852e-8
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-0.10519986625137027	1.124177595457354e-8	2.549963814086193e-8
KEGG_PURINE_METABOLISM	0.020480392214115666	2.0919838605759542e-8	4.688060217676234e-8
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.04295461673462869	4.4630025675118645e-8	9.882362828061986e-8
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.07978918537982319	4.831096213595499e-8	1.0571575243867799e-7
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	-0.024774264135332496	5.000986336156643e-8	1.081608672703646e-7
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.057884498655580666	1.141067798027251e-7	2.439524257851364e-7
KEGG_VIRAL_MYOCARDITIS	-0.08230901824832788	1.199900183657121e-7	2.5361526609116425e-7
KEGG_TYPE_II_DIABETES_MELLITUS	-0.028085392774531856	1.271846554740108e-7	2.658016395299552e-7
KEGG_BASE_EXCISION_REPAIR	0.030552614315002335	2.2713033745690045e-7	4.6940269741092766e-7
