geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0006396	RNA processing	http://amigo.geneontology.org/amigo/term/GO:0006396	253	84	36.6480304955527	2.29207405866445	7.54951656745106e-15	1.17772458452237e-11	30471;192311;192325;192330;192331;266962;286774;321114;321652;321700;321718;321860;321897;322251;322715;323426;324121;325037;325106;325292;325550;326786;326944;327053;327069;327196;334362;368864;386850;387600;393098;393102;393282;393475;393979;393985;394053;394074;402966;402989;403025;405801;406249;406275;406321;406376;406810;406824;415167;415211;431768;436946;436976;436992;442932;445035;445101;445224;445387;445399;446116;447856;450021;474329;494106;553298;553505;553648;553790;554096;557254;566022;567715;568043;570158;570247;571210;606657;613144;777627;794079;795398;100003787;100006246	ENSDARG00000069422;ENSDARG00000077461;ENSDARG00000017762;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000097478;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000014244;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000018890;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000056665;ENSDARG00000006225;ENSDARG00000036060;ENSDARG00000067639;ENSDARG00000013478;ENSDARG00000018618;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000100209;ENSDARG00000020232;ENSDARG00000007092;ENSDARG00000020986;ENSDARG00000030830;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000043105;ENSDARG00000102978;ENSDARG00000035324;ENSDARG00000011125;ENSDARG00000011740;ENSDARG00000029911;ENSDARG00000102995;ENSDARG00000015111;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000101047;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000035625;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000015394;ENSDARG00000012674;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000037930;ENSDARG00000056720;ENSDARG00000070431;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000010978;ENSDARG00000040326;ENSDARG00000025212;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000079725;ENSDARG00000063003;ENSDARG00000076176;ENSDARG00000094277;ENSDARG00000033967;ENSDARG00000016484;ENSDARG00000063627;ENSDARG00000052480;ENSDARG00000004757
GO:0034660	ncRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034660	137	56	19.8449809402795	2.82187219874504	1.62092561595273e-14	1.26432198044313e-11	114427;192311;321114;321652;321700;321718;321897;322251;322715;323426;325037;325106;325221;325292;326786;327053;327196;334362;334588;368235;386850;393098;393282;393985;406275;406321;406376;415167;436946;436992;442932;445101;445224;445387;445399;446116;447856;474329;494106;553298;553790;554096;554138;556702;557254;562037;562329;566022;567715;570247;571210;606657;613144;777627;791890;100003787	ENSDARG00000069422;ENSDARG00000044575;ENSDARG00000017762;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000000568;ENSDARG00000056665;ENSDARG00000036060;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000041570;ENSDARG00000035913;ENSDARG00000020232;ENSDARG00000020986;ENSDARG00000069878;ENSDARG00000043105;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000101047;ENSDARG00000036995;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000012674;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000037930;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000038397;ENSDARG00000077299;ENSDARG00000016080;ENSDARG00000060494;ENSDARG00000062915;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000076176;ENSDARG00000094277;ENSDARG00000033967;ENSDARG00000016484;ENSDARG00000063627;ENSDARG00000036282
GO:0016072	rRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016072	69	36	9.99491740787802	3.60183066361556	1.24344978758018e-13	6.46593889541691e-11	321114;321652;321700;321718;321897;322251;323426;325037;325106;326786;327053;327196;334362;386850;393282;406275;406321;415167;436946;436992;442932;445224;445387;445399;447856;474329;494106;553790;554096;557254;566022;567715;613144;777627;791890;100003787	ENSDARG00000069422;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000036060;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000036995;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000016484;ENSDARG00000063627;ENSDARG00000036282
GO:0042254	ribosome biogenesis	http://amigo.geneontology.org/amigo/term/GO:0042254	101	45	14.6302414231258	3.07582073996873	1.70974345792274e-13	6.66799948589869e-11	321114;321652;321700;321718;321897;322251;323426;323464;325037;325106;326786;327053;327196;334362;386850;393282;394040;402800;406275;406321;406324;415167;436807;436946;436992;442932;445224;445387;445399;447856;474329;494106;553606;553616;553790;554096;557254;558395;566022;567715;568328;570267;613144;777627;100003787	ENSDARG00000069422;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000036060;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000035427;ENSDARG00000075380;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000007216;ENSDARG00000036995;ENSDARG00000044402;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000057105;ENSDARG00000059075;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000078041;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000057929;ENSDARG00000003217;ENSDARG00000016484;ENSDARG00000063627
GO:0006364	rRNA processing	http://amigo.geneontology.org/amigo/term/GO:0006364	67	35	9.70520965692503	3.60631055250065	2.62234678416462e-13	8.18172196659361e-11	321114;321652;321700;321718;321897;322251;323426;325037;325106;326786;327053;327196;334362;386850;393282;406275;406321;415167;436946;436992;442932;445224;445387;445399;447856;474329;494106;553790;554096;557254;566022;567715;613144;777627;100003787	ENSDARG00000069422;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000036060;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000069878;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000036995;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000016484;ENSDARG00000063627
GO:0034470	ncRNA processing	http://amigo.geneontology.org/amigo/term/GO:0034470	110	47	15.9339263024142	2.94968102073365	3.28626015289046e-13	8.54427639751520e-11	192311;321114;321652;321700;321718;321897;322251;322715;323426;325037;325106;325292;326786;327053;327196;334362;386850;393098;393282;393985;406275;406321;406376;415167;436946;436992;442932;445101;445224;445387;445399;446116;447856;474329;494106;553298;553790;554096;557254;566022;567715;570247;571210;606657;613144;777627;100003787	ENSDARG00000069422;ENSDARG00000017762;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000089260;ENSDARG00000012495;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000056665;ENSDARG00000036060;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000020232;ENSDARG00000020986;ENSDARG00000069878;ENSDARG00000043105;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000101047;ENSDARG00000036995;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000012674;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000037930;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000010978;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000076176;ENSDARG00000094277;ENSDARG00000033967;ENSDARG00000016484;ENSDARG00000063627
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	138	53	19.989834815756	2.65134757182812	1.69508851399769e-12	3.77762583119485e-10	192330;192331;321114;321652;321700;321718;321897;322251;323426;323464;325037;325106;326786;327053;327196;334362;368864;386850;387600;393282;393475;393979;394040;402800;406275;406321;406324;415167;431768;436807;436946;436992;442932;445224;445387;445399;447856;474329;494106;553606;553616;553790;554096;557254;558395;566022;567715;568328;570267;613144;777627;100003787;100009659	ENSDARG00000069422;ENSDARG00000017423;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000023299;ENSDARG00000003287;ENSDARG00000026767;ENSDARG00000011999;ENSDARG00000006219;ENSDARG00000042864;ENSDARG00000012495;ENSDARG00000015352;ENSDARG00000007744;ENSDARG00000002720;ENSDARG00000036060;ENSDARG00000013478;ENSDARG00000055885;ENSDARG00000059711;ENSDARG00000100209;ENSDARG00000020232;ENSDARG00000007092;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000035427;ENSDARG00000075380;ENSDARG00000053912;ENSDARG00000075323;ENSDARG00000007216;ENSDARG00000036995;ENSDARG00000018658;ENSDARG00000044402;ENSDARG00000005945;ENSDARG00000054540;ENSDARG00000020595;ENSDARG00000093007;ENSDARG00000025854;ENSDARG00000020913;ENSDARG00000056720;ENSDARG00000021112;ENSDARG00000021324;ENSDARG00000057105;ENSDARG00000059075;ENSDARG00000071878;ENSDARG00000045565;ENSDARG00000016080;ENSDARG00000078041;ENSDARG00000095750;ENSDARG00000077751;ENSDARG00000057929;ENSDARG00000003217;ENSDARG00000016484;ENSDARG00000063627
GO:0016071	mRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016071	160	49	23.1766200762389	2.11419956140351	8.51198596052427e-08	1.65983726230223e-05	30471;192325;192330;192331;266962;286774;321114;321860;324088;324121;325550;326786;326944;327069;368864;387600;393102;393282;393475;393979;394053;394074;402966;402989;403025;405801;406249;406632;406810;406824;415167;415211;431768;436946;436976;445035;446116;449540;449992;450021;556024;565659;567424;570158;613144;794079;795398;100006246;100009659	ENSDARG00000077461;ENSDARG00000017423;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000097478;ENSDARG00000023299;ENSDARG00000014244;ENSDARG00000056127;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000036060;ENSDARG00000067639;ENSDARG00000018618;ENSDARG00000100209;ENSDARG00000007092;ENSDARG00000030830;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000102978;ENSDARG00000035324;ENSDARG00000011125;ENSDARG00000011740;ENSDARG00000029911;ENSDARG00000102995;ENSDARG00000015111;ENSDARG00000033855;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000035625;ENSDARG00000015394;ENSDARG00000037930;ENSDARG00000007135;ENSDARG00000040443;ENSDARG00000070431;ENSDARG00000061177;ENSDARG00000062266;ENSDARG00000061378;ENSDARG00000063003;ENSDARG00000016484;ENSDARG00000052480;ENSDARG00000004757
GO:0008380	RNA splicing	http://amigo.geneontology.org/amigo/term/GO:0008380	102	33	14.7750952986023	2.23348813209494	3.06546740025393e-06	0.000509242262044296	30471;192325;192330;192331;266962;286774;321114;321860;324121;325550;326944;368864;387600;393282;393475;393979;394053;402966;403025;406249;406376;406810;406824;415167;415211;431768;436946;436976;445035;446116;553648;795398;100006246	ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000097478;ENSDARG00000023299;ENSDARG00000014244;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000067639;ENSDARG00000100209;ENSDARG00000007092;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000102978;ENSDARG00000011125;ENSDARG00000029911;ENSDARG00000015111;ENSDARG00000101047;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000035625;ENSDARG00000015394;ENSDARG00000037930;ENSDARG00000025212;ENSDARG00000004757
GO:0006397	mRNA processing	http://amigo.geneontology.org/amigo/term/GO:0006397	130	39	18.8310038119441	2.07105263157895	3.26437347464292e-06	0.000509242262044296	30471;192325;192330;192331;266962;286774;321114;321860;324121;325550;326944;327069;368864;387600;393102;393282;393475;393979;394053;394074;402966;402989;403025;405801;406249;406810;406824;415167;415211;431768;436946;436976;445035;446116;450021;570158;794079;795398;100006246	ENSDARG00000077461;ENSDARG00000014898;ENSDARG00000009871;ENSDARG00000011648;ENSDARG00000102896;ENSDARG00000045155;ENSDARG00000097478;ENSDARG00000023299;ENSDARG00000014244;ENSDARG00000018890;ENSDARG00000006225;ENSDARG00000067639;ENSDARG00000018618;ENSDARG00000100209;ENSDARG00000007092;ENSDARG00000030830;ENSDARG00000069878;ENSDARG00000051902;ENSDARG00000033175;ENSDARG00000102978;ENSDARG00000035324;ENSDARG00000011125;ENSDARG00000011740;ENSDARG00000029911;ENSDARG00000102995;ENSDARG00000015111;ENSDARG00000053101;ENSDARG00000103553;ENSDARG00000036995;ENSDARG00000001241;ENSDARG00000018658;ENSDARG00000005945;ENSDARG00000035625;ENSDARG00000015394;ENSDARG00000037930;ENSDARG00000070431;ENSDARG00000063003;ENSDARG00000052480;ENSDARG00000004757
