word	found
️	clustering_microarray_01_heatmap.Rmd:16
️	differential-expression_microarray_01_2-groups.Rmd:16
️	differential-expression_microarray_02_several-groups.Rmd:16
️	dimension-reduction_microarray_01_pca.Rmd:16
️	dimension-reduction_microarray_02_umap.Rmd:16
️	gene-id-annotation_microarray_01_ensembl.Rmd:16
️	clustering_rnaseq_01_heatmap.Rmd:16
️	differential-expression_rnaseq_01.Rmd:16
️	dimension-reduction_rnaseq_01_pca.Rmd:16
️	dimension-reduction_rnaseq_02_umap.Rmd:16
️	gene-id-annotation_rnaseq_01_ensembl.Rmd:16
️	template_example.Rmd:15
actin	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:506
ADT	dimension-reduction_rnaseq_01_pca.Rmd:96,219,286,296,304
ADT	dimension-reduction_rnaseq_02_umap.Rmd:95,231,349,366,385
affy	validate_differential_expression_adv_topics_00_author_de.Rmd:172
al	pathway_analysis_microarray_00_intro.Rmd:21,29,40,76,134
al	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:13
al	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:21,29,40,76,134
al	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:14,24,32,33,199,285,327,361,372,382,393,417
al	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:15,24
al	pathway_analysis_microarray_06_ssgsea.Rmd:15,17,23
al	validate_differential_expression_adv_topics_00_author_de.Rmd:16
al	validate_differential_expression_adv_topics_01.Rmd:26,35,37,117
AML	clustering_rnaseq_01_heatmap.Rmd:91,337
AML	differential-expression_rnaseq_01.Rmd:89,91
AnaLysis	pathway_analysis_microarray_00_intro.Rmd:133
AnaLysis	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:133
arounds	differential-expression_microarray_01_2-groups.Rmd:221
ASXL	differential-expression_rnaseq_01.Rmd:91,229,297
Azacytidine	clustering_rnaseq_01_heatmap.Rmd:337
Baumer	getting-started.Rmd:99
Benjamini	differential-expression_microarray_01_2-groups.Rmd:239
Benjamini	differential-expression_microarray_02_several-groups.Rmd:313
Benjamini	validate_differential_expression_adv_topics_00_author_de.Rmd:143
Benjamini	validate_differential_expression_adv_topics_01.Rmd:340
bioconductor	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:14
bioconductor	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:25
bioconductor	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:16
bioconductor	pathway_analysis_microarray_06_ssgsea.Rmd:25
