pathway.name	log.fold.change	p.Value	FDR
KEGG_LEISHMANIA_INFECTION	-0.137231794494751	0	0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	-0.10546697168713526	0	0
KEGG_ECM_RECEPTOR_INTERACTION	-0.1013368123955068	0	0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-0.09686947372774567	0	0
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.08780860396505366	0	0
KEGG_CHEMOKINE_SIGNALING_PATHWAY	-0.08111049866163468	0	0
KEGG_FOCAL_ADHESION	-0.07933619150049726	0	0
KEGG_P53_SIGNALING_PATHWAY	-0.07531773360334036	0	0
KEGG_BLADDER_CANCER	-0.07481476693110875	0	0
KEGG_TGF_BETA_SIGNALING_PATHWAY	-0.07284455340422684	0	0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	-0.06964121077097607	0	0
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-0.06849277557905797	0	0
KEGG_JAK_STAT_SIGNALING_PATHWAY	-0.06590674220279749	0	0
KEGG_CHRONIC_MYELOID_LEUKEMIA	-0.06566749991575149	0	0
KEGG_GLIOMA	-0.06289393768725354	0	0
KEGG_COLORECTAL_CANCER	-0.05783956519486061	0	0
KEGG_MELANOMA	-0.057461542361633526	0	0
KEGG_PANCREATIC_CANCER	-0.05744641223027644	0	0
KEGG_PROSTATE_CANCER	-0.05553045688405187	0	0
KEGG_MAPK_SIGNALING_PATHWAY	-0.054015303873393615	0	0
KEGG_APOPTOSIS	-0.05253240693462737	0	0
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	-0.05028916243018371	0	0
KEGG_NON_SMALL_CELL_LUNG_CANCER	-0.04842656124099399	0	0
KEGG_ACUTE_MYELOID_LEUKEMIA	-0.047267294216372296	0	0
KEGG_SMALL_CELL_LUNG_CANCER	-0.04427353247590898	0	0
KEGG_ERBB_SIGNALING_PATHWAY	-0.042582148865680285	0	0
KEGG_ENDOMETRIAL_CANCER	-0.041214639320591426	0	0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-0.03755923267626308	0	0
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	-0.033185800389284544	0	0
KEGG_PATHWAYS_IN_CANCER	-0.030516347459835308	0	0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.039467638656507154	0	0
KEGG_PYRIMIDINE_METABOLISM	0.04387319852481361	0	0
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.06786355684434835	0	0
KEGG_HUNTINGTONS_DISEASE	0.08506061508415785	0	0
KEGG_ALZHEIMERS_DISEASE	0.09023214684007862	0	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.09928681613949161	0	0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.12005498907807825	0	0
KEGG_PARKINSONS_DISEASE	0.1379773887968747	0	0
KEGG_PROPANOATE_METABOLISM	0.14235321075155	0	0
KEGG_OXIDATIVE_PHOSPHORYLATION	0.1452158236259153	0	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.1580083561003885	0	0
KEGG_PROTEASOME	0.1684655537032091	0	0
KEGG_PYRUVATE_METABOLISM	0.17258890408153874	0	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.20320336496521899	0	0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.08882692941613614	1.0493910899881998e-16	4.337483171951226e-16
KEGG_RNA_POLYMERASE	0.04453349147950948	3.777228487663625e-14	1.5273141276205094e-13
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-0.06974910917361943	1.9872992140790302e-13	7.864630932312758e-13
KEGG_MISMATCH_REPAIR	0.05781353245829598	2.3953969933655403e-13	9.282163349291469e-13
KEGG_ADHERENS_JUNCTION	-0.0461826442979573	2.3947510641164627e-12	9.090279549503308e-12
KEGG_CALCIUM_SIGNALING_PATHWAY	-0.027663623863945646	3.08397751780376e-12	1.1472396366229987e-11
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-0.023086417683877713	3.417710559006082e-12	1.246459145049277e-11
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.06354447304949797	3.7921517004102544e-12	1.3564234928390527e-11
KEGG_STEROID_BIOSYNTHESIS	0.21823152884555047	4.466873547655979e-12	1.567619773328325e-11
KEGG_RNA_DEGRADATION	0.03119305114073623	5.050871708636723e-12	1.7397446996415383e-11
KEGG_GAP_JUNCTION	-0.03360539307148132	5.7902571626300414e-12	1.958159694998523e-11
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.03284555746180723	6.270250982181017e-12	2.0826190762244093e-11
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.12989428248836166	7.110203601983544e-12	2.3201717016998934e-11
KEGG_SPHINGOLIPID_METABOLISM	-0.057305236181415684	7.672529278579532e-12	2.4605007686479187e-11
KEGG_INSULIN_SIGNALING_PATHWAY	0.03777814960990865	1.218398999141676e-11	3.8410544718703685e-11
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	-0.10842150832893188	1.4701351247481398e-11	4.557418886719233e-11
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.04049221796699502	1.9366395122942862e-11	5.905163103061266e-11
KEGG_ETHER_LIPID_METABOLISM	-0.04584162883213917	3.797828718177243e-11	1.1393486154531729e-10
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-0.21985560428932666	6.552491882416689e-11	1.9241872678543714e-10
KEGG_AXON_GUIDANCE	-0.03660240142694369	6.620859416273106e-11	1.9241872678543714e-10
KEGG_PRION_DISEASES	-0.08977077253843271	6.912448391460657e-11	1.9780236935564343e-10
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	-0.03221911971370648	7.097678000889118e-11	1.999158509715073e-10
KEGG_PROTEIN_EXPORT	0.07043850486891301	7.201269900586553e-11	1.999158509715073e-10
KEGG_GNRH_SIGNALING_PATHWAY	-0.03270362214931144	7.555356340560593e-11	2.0666121755062799e-10
KEGG_LYSOSOME	-0.08011179082261258	8.228928649600675e-11	2.2182329403271385e-10
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.1094028737161417	3.42445950199477e-10	9.099278105300388e-10
KEGG_RENAL_CELL_CARCINOMA	-0.026380477244862654	6.343252589857684e-10	1.661753495371168e-9
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.10950539310816912	1.106202685008384e-9	2.857690269604992e-9
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.07995654200350483	1.1271037436699771e-9	2.8717985797618595e-9
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	-0.05988309464625653	1.1579475156509034e-9	2.9105167285279466e-9
KEGG_DILATED_CARDIOMYOPATHY	-0.04939446209412346	1.322241649504008e-9	3.2791592907699397e-9
KEGG_NOTCH_SIGNALING_PATHWAY	-0.04763164705399811	1.7442027822056616e-9	4.268706809082277e-9
KEGG_MELANOGENESIS	-0.028235036995926555	3.831477135562977e-9	9.255256457333946e-9
KEGG_ENDOCYTOSIS	-0.02497089344020023	4.7583488260727336e-9	1.1346831816019595e-8
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	-0.08231620849638095	5.423011595340199e-9	1.2768103249788317e-8
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.07868977805941592	1.0081777412906945e-8	2.344013248500865e-8
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-0.10519986625137027	1.1241776620707356e-8	2.5814450017920593e-8
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.07122562357011175	1.9623866087670194e-8	4.451267185739824e-8
KEGG_PURINE_METABOLISM	0.020480392214115666	2.0489352728861004e-8	4.5915898886363214e-8
KEGG_DORSO_VENTRAL_AXIS_FORMATION	-0.04295461673462869	4.4630025675118645e-8	9.882362828061986e-8
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.07978918537982319	4.831096208185918e-8	1.0571575232030362e-7
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	-0.024774264135332496	5.000986336156643e-8	1.081608672703646e-7
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.057884498655580666	1.1410677869250208e-7	2.439524234115561e-7
KEGG_VIRAL_MYOCARDITIS	-0.08230901824832788	1.223281174134172e-7	2.585571572601773e-7
KEGG_TYPE_II_DIABETES_MELLITUS	-0.028085392774531856	1.271846554740108e-7	2.658016395299552e-7
KEGG_BASE_EXCISION_REPAIR	0.030552614315002335	2.271303371099514e-7	4.694026966938996e-7
